Frame,EVOL Sum
1,837715.120789
2,834903.040646
3,834800.042029
4,834957.280365
5,834957.158728
6,834948.58672
7,834963.466203
8,834852.579106
9,834942.593393
10,835000.680426
11,834934.899379
12,834850.655301
13,834962.342308
14,834913.657943
15,834947.698736
16,834978.83942
17,834921.210301
18,834968.9002
19,835138.666376
20,835172.70854
21,835371.251022
22,835531.749541
23,835727.748328
24,835968.629128
25,836332.681745
26,836621.083504
27,836974.387923
28,837407.335497
29,837842.930307
30,838331.832315
31,838817.564856
32,839290.348492
33,839880.915644
34,840467.031397
35,841005.259489
36,841622.669712
37,842308.731623
38,842854.257965
39,843535.148404
40,844193.794615
41,844776.608405
42,845449.809402
43,846097.745615
44,846614.16405
45,847233.279476
46,847650.962536
47,848140.579111
48,848577.708633
49,848899.824967
50,849220.981784
51,849650.680011
