Frame,EVOL Sum
1,959913.15839
2,954182.244279
3,956362.422358
4,955871.178125
5,956687.591943
6,958058.052539
7,958890.554891
8,961066.970488
9,963068.585873
10,965449.421904
11,968802.059653
12,971785.462818
13,975735.763759
14,979712.49441
15,984010.634244
16,988532.940306
17,993029.006698
18,997664.832819
19,1001831.98487
20,1005727.38029
21,1008736.37218
22,1011241.459
23,1013611.55367
24,1016243.8938
25,1019046.58439
26,1022645.15551
27,1026541.82685
28,1030484.36368
29,1034841.17759
30,1039492.76116
31,1044520.27706
32,1049561.63564
33,1054987.65508
34,1060503.04503
35,1066118.14433
36,1071715.12358
37,1077162.54345
38,1082829.90474
39,1088579.7554
40,1094070.24702
41,1099300.29308
42,1104486.71112
43,1109688.84801
44,1114468.30157
45,1118881.21363
46,1123346.33348
47,1127512.99201
48,1131240.12331
49,1134740.33476
50,1138087.74242
51,1140665.9624
